𑫀,𑫁,𑫂,𑫃,𑫄,𑫅,𑫆,𑫇,,
𑫀𑫕𑫲,𑫁𑫕𑫲,𑫂𑫕𑫲,𑫃𑫕𑫲,𑫄𑫕𑫲,𑫅𑫕𑫲,𑫆𑫕𑫲,𑫇𑫕𑫲,,𑫀𑫕𑫢𑫯𑫍𑫗𑫠𑫦𑫈𑫕𑫢𑫴𑫂𑫕𑫤𑫷
pa,ka,la,ma,da,za,va,nga,,Paw-Cín-Hàw-Lày
p,k,l,m,d,z,v,ng,,Pau Cin Hau script
[p],[k],[l],[m],[d],[z],[v],[ŋ],,
𑫈,𑫉,𑫊,𑫋,𑫌,𑫍,𑫎,𑫏,,
𑫈𑫕𑫲,𑫉𑫕𑫲,𑫊𑫕𑫲,𑫋𑫕𑫲,𑫌𑫕𑫲,𑫍𑫕𑫲,𑫎𑫕𑫲,𑫏𑫕𑫲,,
ha,ga,kha,sa,ba,ca,ta,tha,,
h,g,kh,s,b,c,t,th,,
[h],[ɡ],[x],[s],[b],[ʧ],[t],[tʰ],,
𑫐,𑫑,𑫒,𑫓,𑫔,,,,,
𑫐𑫕𑫲,𑫑𑫕𑫲,𑫒𑫕𑫲,𑫓𑫕𑫲,𑫔𑫕𑫲,,,,,
na,pha,ra,fa,ta,,,,,
n,ph,r,f,t,,,,,
[n],[pʰ],[r],[f],[ʧʰ],,,,,
,,,,,,,,,
Final consonants,,,,,,,,,
𑫜,𑫝,𑫡,𑫟,𑫣,𑫞,𑫠,𑫢,,
𑫕𑫜𑫷,𑫕𑫝𑫷,𑫕𑫡𑫷,𑫕𑫟𑫷,𑫕𑫣𑫷,𑫕𑫞𑫷,𑫕𑫠𑫷,𑫕𑫢𑫷,,
àp,àk,àl,àm,àng,àt,àn,àw,,
 -p, -k, -l, -m, -ng, -t, -n, -w,,
[p],[k],[l],[m],[ŋ],[t],[n],[w],,
,,,,,,,,,
, Vowels,,,,,,,,
𑫤,𑫕,𑫖,𑫗,𑫘,𑫙,𑫚,𑫛,,
𑫕𑫤𑫷,𑫕𑫲,𑫖𑫲,𑫗𑫲,𑫘𑫲,𑫙𑫷,𑫚𑫷,𑫛𑫷,,
ày,a,e,i,o,u,ua,ia,,
 -y,[ɐ/a],[ɛ/e],[ɪ/i],[ɔ/o],[ʊ/u],[ʊɑ],[ɪɑ],,
[j],,,,,,,,,
,,,,,,,,,
Tone indication,,,,,,,,,
𑫥 𑫨,𑫱,𑫳 𑫶,𑫫 𑫭,𑫦 𑫩,𑫯 𑫲,𑫴 𑫷,𑫬 𑫮,,
a̋,ā,ȁ,a,á,a,à,a,,
[ː˧˥], [ː˧],[ː˧˩],[ː˧˦˨],[˧˥],[˧],[˧˩],[˧˦˨],,
𑫧 𑫪,𑫰,𑫵 𑫸,,,,,,,
á’,a’,à’,,,,,,,
[ˀ˧˥], [ˀ˧],[ˀ˧˩],,,,,,,
